"Time","Ping Status","VMName","IP"
"29/01/2016 12:26:59","Ok","www.talk-straight.com",
"29/01/2016 12:27:04","Ok","google.com",
"29/01/2016 12:27:04","Ok","bbc.co.uk",
"29/01/2016 12:27:04","Ok","www.talk-straight.com",
"29/01/2016 12:27:09","Ok","google.com",
"29/01/2016 12:27:09","Ok","bbc.co.uk",
"29/01/2016 12:27:09","Ok","www.talk-straight.com",
"29/01/2016 12:27:23","Ok","google.com",
"29/01/2016 12:27:23","Ok","bbc.co.uk",
"29/01/2016 12:27:23","Ok","www.talk-straight.com",
"29/01/2016 12:27:28","Ok","google.com",
"29/01/2016 12:27:29","Ok","bbc.co.uk",
"29/01/2016 12:27:29","Ok","www.talk-straight.com",
